uniprot	fullName	uniProtkbId
Q4KMQ2	Anoctamin-6	ANO6_HUMAN
Q53ZZ1	Tumor necrosis factor ligand superfamily member 6	Q53ZZ1_HUMAN
Q5QGZ9	C-type lectin domain family 12 member A	CL12A_HUMAN
Q5VWK5	Interleukin-23 receptor	IL23R_HUMAN
Q6PIL0		Q6PIL0_HUMAN
Q6UX06	Olfactomedin-4	OLFM4_HUMAN
Q6ZQN7	Solute carrier organic anion transporter family member 4C1	SO4C1_HUMAN
Q7L0Q8	Rho-related GTP-binding protein RhoU	RHOU_HUMAN
Q7L591	Docking protein 3	DOK3_HUMAN
Q7Z6P3	Ras-related protein Rab-44	RAB44_HUMAN
Q86WV6	Stimulator of interferon genes protein	STING_HUMAN
Q86XR7	TIR domain-containing adapter molecule 2	TCAM2_HUMAN
Q86Y34	Adhesion G protein-coupled receptor G3	AGRG3_HUMAN
Q8IWA5	Choline transporter-like protein 2	CTL2_HUMAN
Q8IWL1	Pulmonary surfactant-associated protein A2	SFPA2_HUMAN
Q8IWL2	Pulmonary surfactant-associated protein A1	SFTA1_HUMAN
Q8N6P7	Interleukin-22 receptor subunit alpha-1	I22R1_HUMAN
Q8N6Q3	CD177 antigen	CD177_HUMAN
Q8NAC3	Interleukin-17 receptor C	I17RC_HUMAN
Q8NET5	NFAT activation molecule 1	NFAM1_HUMAN
Q8NF37	Lysophosphatidylcholine acyltransferase 1	PCAT1_HUMAN
Q8NFR9	Interleukin-17 receptor E	I17RE_HUMAN
Q8NG11	Tetraspanin-14	TSN14_HUMAN
Q8NHG7	Small VCP/p97-interacting protein	SVIP_HUMAN
Q8NI17	Interleukin-31 receptor subunit alpha	IL31R_HUMAN
Q8TDQ0	Hepatitis A virus cellular receptor 2	HAVR2_HUMAN
Q8TF62	Probable phospholipid-transporting ATPase IM	AT8B4_HUMAN
Q8WTT0	C-type lectin domain family 4 member C	CLC4C_HUMAN
Q8WV28	B-cell linker protein	BLNK_HUMAN
Q8WVQ1	Soluble calcium-activated nucleotidase 1	CANT1_HUMAN
Q8WXI8	C-type lectin domain family 4 member D	CLC4D_HUMAN
Q92820	Gamma-glutamyl hydrolase	GGH_HUMAN
Q92835	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1	SHIP1_HUMAN
Q92838	Ectodysplasin-A	EDA_HUMAN
Q92956	Tumor necrosis factor receptor superfamily member 14	TNR14_HUMAN
Q93038	Tumor necrosis factor receptor superfamily member 25	TNR25_HUMAN
Q96D96	Voltage-gated hydrogen channel 1	HVCN1_HUMAN
Q96F46	Interleukin-17 receptor A	I17RA_HUMAN
Q99062	Granulocyte colony-stimulating factor receptor	CSF3R_HUMAN
Q99467	CD180 antigen	CD180_HUMAN
Q99519	Sialidase-1	NEUR1_HUMAN
Q99829	Copine-1	CPNE1_HUMAN
Q9BSW2	EF-hand calcium-binding domain-containing protein 4B	EFC4B_HUMAN
Q9BV40	Vesicle-associated membrane protein 8	VAMP8_HUMAN
Q9BY15	Adhesion G protein-coupled receptor E3	AGRE3_HUMAN
Q9H0U3	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1	MAGT1_HUMAN
Q9H1K0	Rabenosyn-5	RBNS5_HUMAN
Q9H3Z4	DnaJ homolog subfamily C member 5	DNJC5_HUMAN
Q9HBH0	Rho-related GTP-binding protein RhoF	RHOF_HUMAN
Q9HC29	Nucleotide-binding oligomerization domain-containing protein 2	NOD2_HUMAN
Q9HC73	Cytokine receptor-like factor 2	CRLF2_HUMAN
Q9NP72	Ras-related protein Rab-18	RAB18_HUMAN
Q9NP90	Ras-related protein Rab-9B	RAB9B_HUMAN
Q9NPA2	Matrix metalloproteinase-25	MMP25_HUMAN
Q9NPY3	Complement component C1q receptor	C1QR1_HUMAN
Q9NQS5	G-protein coupled receptor 84	GPR84_HUMAN
Q9NRM6	Interleukin-17 receptor B	I17RB_HUMAN
Q9NV96	Cell cycle control protein 50A	CC50A_HUMAN
Q9NX76	CKLF-like MARVEL transmembrane domain-containing protein 6	CKLF6_HUMAN
Q9NY25	C-type lectin domain family 5 member A	CLC5A_HUMAN
Q9NYA1	Sphingosine kinase 1	SPHK1_HUMAN
Q9NZN1	Interleukin-1 receptor accessory protein-like 1	IRPL1_HUMAN
Q9P0L0	Vesicle-associated membrane protein-associated protein A	VAPA_HUMAN
Q9P296	C5a anaphylatoxin chemotactic receptor 2	C5AR2_HUMAN
Q9UGN4	CMRF35-like molecule 8	CLM8_HUMAN
Q9UJU6	Drebrin-like protein	DBNL_HUMAN
Q9UNG2	Tumor necrosis factor ligand superfamily member 18	TNF18_HUMAN
Q9UQC2	GRB2-associated-binding protein 2	GAB2_HUMAN
Q9Y239	Nucleotide-binding oligomerization domain-containing protein 1	NOD1_HUMAN
Q9Y275	Tumor necrosis factor ligand superfamily member 13B	TN13B_HUMAN
Q9Y2C9	Toll-like receptor 6	TLR6_HUMAN
Q9Y2Q0	Phospholipid-transporting ATPase IA	AT8A1_HUMAN
Q9Y5U5	Tumor necrosis factor receptor superfamily member 18	TNR18_HUMAN
Q9Y6Q6	Tumor necrosis factor receptor superfamily member 11A	TNR11_HUMAN
Q9Y6X5	Bis(5'-adenosyl)-triphosphatase ENPP4	ENPP4_HUMAN
Q9Y6Y9	Lymphocyte antigen 96	LY96_HUMAN
