uniprot	reactome	url	rxn_name	x	species	fullName	uniProtkbId
P07384	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Calpain-1 catalytic subunit	CAN1_HUMAN
P07478	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Trypsin-2	TRY2_HUMAN
P07711	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Procathepsin L	CATL1_HUMAN
P07858	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Cathepsin B	CATB_HUMAN
P07858	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Cathepsin B	CATB_HUMAN
P07900	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Heat shock protein HSP 90-alpha	HS90A_HUMAN
P07900	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Heat shock protein HSP 90-alpha	HS90A_HUMAN
P07947	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Tyrosine-protein kinase Yes	YES_HUMAN
P07947	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	IEA	Homo sapiens	Tyrosine-protein kinase Yes	YES_HUMAN
P07948	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Tyrosine-protein kinase Lyn	LYN_HUMAN
P07948	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	IEA	Homo sapiens	Tyrosine-protein kinase Lyn	LYN_HUMAN
P08123	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Collagen alpha-2(I) chain	CO1A2_HUMAN
P08174	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens	Complement decay-accelerating factor	DAF_HUMAN
